Entity,Year,Emissions,Temperature
World,1850,4216864500,-0.4177114
World,1851,4314936300,-0.2333498
World,1852,4381056000,-0.22939907
World,1853,4459687400,-0.27035445
World,1854,4547728400,-0.29152083
World,1855,4571633700,-0.29691675
World,1856,4614482000,-0.32035372
World,1857,4664652000,-0.46723005
World,1858,4696172500,-0.3887657
World,1859,4772474000,-0.28126517
World,1860,4659264000,-0.39016518
World,1861,4581871000,-0.42911294
World,1862,4570386000,-0.5363694
World,1863,4592377300,-0.34424406
World,1864,4605874000,-0.46546507
World,1865,4594452000,-0.33248132
World,1866,4636967000,-0.3412875
World,1867,4688634000,-0.35699412
World,1868,4681590000,-0.35182714
World,1869,4706873300,-0.31659195
World,1870,4952273400,-0.32792753
World,1871,5102981600,-0.36856276
World,1872,5237430000,-0.32811058
World,1873,5366615600,-0.3412969
World,1874,5397048000,-0.3732512
World,1875,5499267600,-0.37562594
World,1876,5560804400,-0.4241099
World,1877,5654601700,-0.10110884
World,1878,5737810400,-0.011315192
World,1879,5841595000,-0.30363432
World,1880,6009233000,-0.31583205
World,1881,6024196000,-0.23224552
World,1882,6160638000,-0.29553008
World,1883,6312331000,-0.3464744
World,1884,6344400400,-0.49232006
World,1885,6359458000,-0.47112358
World,1886,6437946400,-0.42090362
World,1887,6567063600,-0.49878576
World,1888,6718681000,-0.37937889
World,1889,6725160400,-0.24989556
World,1890,7130888700,-0.50685817
World,1891,7321271000,-0.40131494
World,1892,7390585000,-0.5075585
World,1893,7461595000,-0.49461922
World,1894,7568626000,-0.48376393
World,1895,7719436300,-0.4487516
World,1896,7830416000,-0.28400728
World,1897,7941905000,-0.25980017
World,1898,8086188500,-0.48579213
World,1899,8337091600,-0.35543364
World,1900,8544012300,-0.2344939
World,1901,8673253000,-0.29341024
World,1902,8813169000,-0.43895653
World,1903,9047735000,-0.5332871
World,1904,9180333000,-0.59751105
World,1905,9372825000,-0.40779322
World,1906,9543475000,-0.31910878
World,1907,9994790000,-0.5040763
World,1908,9925420000,-0.5138197
World,1909,10113475000,-0.53568715
World,1910,10185901000,-0.5309095
World,1911,10223932000,-0.539079
World,1912,10351878000,-0.47553864
World,1913,10660399000,-0.4670111
World,1914,10313037000,-0.26243657
World,1915,10238461000,-0.19167219
World,1916,10493294000,-0.42002314
World,1917,10673731000,-0.5428197
World,1918,10652984000,-0.4243641
World,1919,10121874000,-0.32528907
World,1920,10881138000,-0.29835507
World,1921,10535131000,-0.24044435
World,1922,10803109000,-0.3390137
World,1923,11319195000,-0.31768188
World,1924,11383323000,-0.3118017
World,1925,11520146000,-0.28214198
World,1926,11451168000,-0.122555
World,1927,11872531000,-0.2291136
World,1928,11885215000,-0.20646581
World,1929,12254562000,-0.39244303
World,1930,12002224000,-0.17680542
World,1931,11642410000,-0.103397675
World,1932,11350571000,-0.14546171
World,1933,11586585000,-0.32234442
World,1934,11997494000,-0.17433685
World,1935,12234545000,-0.20605923
World,1936,12712446000,-0.16952094
World,1937,13054135000,-0.019198947
World,1938,12825674000,-0.012200737
World,1939,13135476000,-0.040797204
World,1940,13751442000,0.07593582
World,1941,14103380000,0.0381293
World,1942,14202137000,0.001406068
World,1943,14390599000,0.006421582
World,1944,14578738000,0.14410514
World,1945,13722967000,0.043088354
World,1946,14268745000,-0.11881461
World,1947,14906980000,-0.09120561
World,1948,15226736000,-0.12466127
World,1949,15026065000,-0.14380223
World,1950,16518558000,-0.2266218
World,1951,17182996000,-0.06115396
World,1952,17512944000,0.015354548
World,1953,17921840000,0.07763075
World,1954,18347560000,-0.11675023
World,1955,19424780000,-0.19730994
World,1956,20259162000,-0.26316562
World,1957,20843647000,-0.035334915
World,1958,21430596000,-0.017632563
World,1959,22495564000,-0.048004813
World,1960,22241257000,-0.11545958
World,1961,22089169000,-0.019999769
World,1962,22074149000,-0.06404272
World,1963,22567942000,-0.036810614
World,1964,23124173000,-0.30586153
World,1965,23284281000,-0.20442048
World,1966,23919491000,-0.1488976
World,1967,24546589000,-0.117539294
World,1968,25414290000,-0.16864756
World,1969,26168248000,-0.03138624
World,1970,27678093000,-0.08506408
World,1971,27973145000,-0.20588905
World,1972,28860512000,-0.09379131
World,1973,29781780000,0.04995016
World,1974,29661096000,-0.17252657
World,1975,29953851000,-0.110754214
World,1976,31029883000,-0.2158369
World,1977,31667313000,0.1030885
World,1978,32180140000,0.005255972
World,1979,32726802000,0.09085814
World,1980,32772480000,0.19607204
World,1981,32381600000,0.25001204
World,1982,32422953000,0.034268282
World,1983,33095197000,0.22380984
World,1984,34678497000,0.04799352
World,1985,34983390000,0.049729742
World,1986,35555512000,0.09568698
World,1987,36011790000,0.2430264
World,1988,36731760000,0.2821517
World,1989,37153382000,0.1792503
World,1990,37516460000,0.36058238
World,1991,37731800000,0.33889654
World,1992,37343780000,0.12489683
World,1993,37482815000,0.16570719
World,1994,38449540000,0.23354979
World,1995,38955393000,0.37686613
World,1996,40121110000,0.27668938
World,1997,41700073000,0.4223085
World,1998,40227897000,0.5773417
World,1999,40598712000,0.32448497
World,2000,40769343000,0.33108476
World,2001,40613487000,0.48928034
World,2002,41546547000,0.5434665
World,2003,43607010000,0.54417014
World,2004,44334810000,0.46737072
World,2005,44948046000,0.6068625
World,2006,46468944000,0.5725527
World,2007,46781616000,0.5917013
World,2008,47579288000,0.46564984
World,2009,47492130000,0.5967816
World,2010,49423570000,0.6803714
World,2011,50941330000,0.53769773
World,2012,51705320000,0.57760704
World,2013,51460150000,0.6235753
World,2014,52163658000,0.67287165
World,2015,52559155000,0.8251144
World,2016,51550380000,0.9329271
World,2017,52249436000,0.84517425
World,2018,52820017000,0.76265407
World,2019,53455053000,0.8910726
World,2020,51458240000,0.9229205
World,2021,53446540000,0.76190555
World,2022,53851160000,0.8013053
,,,1.1003127
,,,1.183945
