Economic Activity,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Agriculture,14959844,15142287,14597214,14707770,14168593,14486981,14564696,14376147,13655251,13389912,13556393,13113393,13969387,13557829,12026628,
Mining,1137636,1140290,816930,744409,699559,606200,409018,550734,575685,576028,595912,508974,497222,658141,645600,
Manufacturing,118738687,100182493,106136530,100584901,94551309,96332435,94100864,91014102,90436875,89106139,89498232,86669692,76977218,82726756,78676392,
Construction,7959064,7442210,7352264,8353740,7979947,8106225,8092687,8105302,8176718,8241813,8267788,8335943,7379778,8222402,8050696,
Retail,10284753,11106407,11350751,10151386,10514751,10700207,10024465,10349749,10353665,11008247,11229600,10362849,8379755,9516038,8786502,
Transportation,75589624,66845911,67789025,67954818,67499445,64086853,60776497,59947726,58165682,63608874,64370278,63762107,50821350,56300134,60437670,
Accommodation,3222913,3547039,3724828,2969185,3154892,2487812,2246370,2359458,2350363,2415165,2379818,2389301,2080250,2276868,1983842,
ict,1055757,1159269,1194290,972706,1033560,992047,899546,966524,984807,1040339,1047683,1089510,943466,1079472,923038,
Finance,1032328,1079992,1100328,948384,1005483,952873,894704,951010,970467,992730,1016015,1015162,842071,977902,865924,
Real_estate,498170,508127,527255,455502,473611,447176,413116,434396,434300,451968,465757,487042,405879,458887,427931,
Professional,2419675,2645270,2701941,2189798,2371171,2063342,1903652,2047372,2111879,2193017,2222724,2406944,2055019,2203105,1940400,
Administrative,9848616,9260054,9055405,8366125,8154097,8092800,7876255,8189686,8065214,7919885,8084552,7958796,7148331,7871547,7521297,
Public_administration,6809826,6875076,6902728,6256560,6258500,5258975,5049021,5117656,4432255,4539556,4718305,5037178,4657220,5483780,4810111,
Education,2882795,3206933,3256917,2362693,2687120,4098419,3418689,3729779,3729046,3890690,3660658,3454411,3033735,3589235,3254396,
Health,2539114,2838067,2887668,2448150,2657206,5733843,5473627,5616381,5393801,5816034,5824806,5838235,5455511,5708486,5891290,
Other,1430198,1553879,1552211,1279039,1366738,1220665,1164263,1200024,1179273,1207712,1222129,1191200,1129764,1191044,1047483,
