Entity,Year,Agriculture,Real Estate,Accomodation,Transportation,Scientific Activities,Manufacturing and construction,Other
Africa,2008,859240000,1131700100,160890000,232680000,974440050,288430000,145940000
Africa,2009,850260030,1118770000,163040020,242410000,925030000,308240020,149000000
Africa,2010,888840000,1146780000,146120000,264019980,1002640000,308640000,152090000
Africa,2011,911300000,1352280000,152860000,274570020,945789970,312230000,155090000
Africa,2012,921550000,1354209900,167200000,298160000,992390000,318860000,158050000
Africa,2013,929020000,1343070100,173630000,323450020,969360050,337360000,161980000
Africa,2014,932490000,1334520000,177480000,337050000,987200000,348430000,165820000
Africa,2015,951300000,1342799900,177920000,340650000,976850000,352980000,169720000
Africa,2016,982490000,1389390000,179020000,356740000,961870020,364880000,173860000
Africa,2017,985720000,1388200100,196910000,357480000,991969980,371060000,178070000
Africa,2018,995600000,1371830000,192510000,368250000,1003630000,392740000,182270000
Africa,2019,1009040000,1375240000,188190000,372060000,1034870000,391630000,186380000
Africa,2020,1053309950,1367360000,189820000,343970020,909160030,380780000,190510000
Africa,2021,1057030000,1360160000,194450000,372140000,959030000,412209980,195040020
Algeria,2008,9090000,0,13620000,29780000,121550000,21030000,11910000
Algeria,2009,9960000,0,13520000,31140000,120570000,21880000,12150000
Algeria,2010,10520000,0,13280000,32390000,120440000,23200000,12390000
Algeria,2011,10810000,0,14650000,34940000,120540000,23870000,12640000
Algeria,2012,11540000,0,16840000,39470000,132070000,23260000,12900000
Algeria,2013,11810000,0,18540000,41140000,133100000,23430000,13160000
Algeria,2014,12400000,0,19260000,44480000,138900000,24670000,13410000
Algeria,2015,12550000,0,21080000,47450000,142060000,26260000,13670000
Algeria,2016,12420000,240000,21350000,46210000,142030000,27670000,13940000
Algeria,2017,12280000,480000,22460000,45690000,141859999.9,30060000,14210000
Algeria,2018,12330000,200000,26420000,46480000,144479999.9,30730000,14480000
Algeria,2019,12430000,230000,27130000,46630000,147300000,32540000,14740000
Algeria,2020,12620000,310000,26940000,41370000,138360000,31040000,15010000
Algeria,2021,12570000,440000,27060000,44250000,139709999.9,34720000,15280000
Angola,2008,33009998,51730000,4310000,5310000,30700000,2930000,1230000
Angola,2009,32860000,54300000,4870000,5890000,30270000,3050000,1280000
Angola,2010,34430000,56150000,5090000,5800000,32600000,3110000,1330000
Angola,2011,35570000,54710000,5490000,6410000,31270000,3400000,1380000
Angola,2012,33680000,55530000,7010000,6900000,30770000,3620000,1430000
Angola,2013,34880000,53420000,8200000,7880000,31350000,3470000,1480000
Angola,2014,33630000,52790000,7880000,8130000,33780000,3750000,1530000
Angola,2015,34970000,52920000,7410000,8170000,37350000,4580000,1580000
Angola,2016,35300000,50750000,7110000,8090000,35450000,4360000,1640000
Angola,2017,35450000,55310000,7340000,6870000,33520000,2770000,1700000
Angola,2018,31880000,47860000,7270000,7100000,28650000,3410000,1750000
Angola,2019,35580000,53180000,7970000,8100000.5,27630000,2950000,1810000
Angola,2020,33940000,49750000,7060000,3990000,24060000,2830000,1860000
Angola,2021,34260000,48920000,7870000,7260000,22689999,3320000,1930000
Argentina,2009,123120000,97960000,24890000,43090000,99400000,34940000,18890000
